"","district","total","n","c_rate","low_CI","upper_CI","BOGUN_CD","expected N","real_N","standardized_ratio","low N","ratio low","upper N","ratio upper"
"1","중구","5450","2294",42.3,"40.5","44.0","49","28301","27939","99","27613","98","28269","100"
"2","동대구권","2244","1041",46.8,"44.2","49.5","45","47527","51977","109","51531","108","52426","110"
"3","불로공산권","635","288",44.4,"40.3","48.6","45","14173","14771","104","14534","103","15011","106"
"4","동촌권","1005","414",41.3,"37.5","45.1","45","23224","22346","96","22054","95","22641","97"
"5","안심권","1614","639",39.5,"36.5","42.5","45","34249","32086","94","31735","93","32439","95"
"6","내당권","1079","437",40,"37.6","42.3","47","15823","14694","93","14457","91","14933","94"
"7","비산권","2116","843",39.4,"37.0","41.8","47","28543","26209","92","25893","91","26529","93"
"8","평리권","2302","864",37.2,"34.5","39.8","47","32744","28427","87","28098","86","28760","88"
"9","이천봉덕권","1786","596",33.2,"30.2","36.2","42","19902","15507","78","15264","77","15753","79"
"10","대명권","2467","1062",43,"40.7","45.4","42","26677","26644","100","26325","99","26966","101"
"11","앞산권","1232","510",40.8,"37.4","44.2","42","13369","12717","95","12497","93","12940","97"
"12","강남지역","2902","1186",40.8,"38.3","43.3","46","76421","73194","96","72664","95","73726","96"
"13","강북지역","2607","941",36.1,"34.0","38.1","46","68520","58805","86","58331","85","59282","87"
"14","범어만촌권","1524","590",39.1,"35.9","42.3","48","39690","36546","92","36172","91","36923","93"
"15","중동권","1815","719",40.2,"37.2","43.1","48","49106","46395","94","45974","94","46820","95"
"16","지산범물권","1045","516",50.6,"45.6","55.5","48","27804","32853","118","32498","117","33210","119"
"17","고산권","1100","487",45.5,"42.1","49.0","48","31100","33413","107","33055","106","33773","109"
"18","두류권","1667","908",55.1,"50.6","59.7","43","59610","77106","129","76563","128","77652","130"
"19","성서권","1263","586",47.2,"42.7","51.8","43","44419","49282","111","48847","110","49719","112"
"20","상인권","2574","1081",42.5,"39.8","45.2","43","94590","94601","100","93999","99","95206","101"
"21","중부권","2249","1216",53.1,"48.8","57.4","44","24854","31087","125","30742","124","31434","126"
"22","남부권","1370","540",40,"35.5","44.4","44","15306","14515","95","14280","93","14753","96"
"23","북부권","1856","742",40.5,"36.3","44.8","44","20608","19988","97","19712","96","20267","98"
