"","dong","total","n","c_rate","low_CI","upper_CI","BOGUN_CD","expected N","real_N","standardized_ratio","low N","ratio low","upper N","ratio upper"
"1","동인동","754","289",38.2,"34.1","42.2","49","3960","3518","89","3403","86","3636","92"
"2","삼덕동","421","183",45.4,"40.2","50.5","49","2140","2252","105","2160","101","2347","110"
"3","성내1동","310","167",54.4,"48.0","60.7","49","1763","2223","126","2132","121","2317","131"
"4","성내2동","317","113",36,"28.3","43.7","49","1984","1648","83","1569","79","1729","87"
"5","성내3동","313","124",38.7,"30.3","47.2","49","1490","1339","90","1268","85","1413","95"
"6","대신동","391","171",44.5,"37.7","51.2","49","2065","2143","104","2054","99","2236","108"
"7","남산1동","301","123",40.5,"33.2","47.9","49","1729","1633","94","1555","90","1714","99"
"8","남산2동","379","185",49.1,"41.9","56.3","49","1813","2076","115","1988","110","2167","120"
"9","남산3동","387","184",49.6,"41.6","57.6","49","2278","2660","117","2560","112","2763","121"
"10","남산4동","956","378",38.6,"34.5","42.7","49","4862","4419","91","4290","88","4551","94"
"11","대봉1동","591","240",41,"36.9","45.0","49","2741","2631","96","2532","92","2734","100"
"12","대봉2동","330","137",41.1,"34.9","47.4","49","1476","1419","96","1346","91","1495","101"
"13","신암1동","249","111",44.7,"38.9","50.5","45","4749","4940","104","4803","101","5080","107"
"14","신암2동","178","67",38.4,"31.1","45.7","45","4027","3675","91","3557","88","3796","94"
"15","신암3동","180","83",45.3,"36.6","53.9","45","3491","3689","106","3571","102","3810","109"
"16","신암4동","312","129",42.4,"35.1","49.8","45","6924","6821","99","6660","96","6985","101"
"17","신암5동","150","75",52.8,"41.2","64.4","45","3165","3881","123","3760","119","4005","127"
"18","신천1_2동","222","104",45.9,"38.6","53.1","45","5094","5520","108","5375","106","5667","111"
"19","신천3동","202","95",46.1,"36.5","55.8","45","4462","4830","108","4694","105","4968","111"
"20","신천4동","157","91",57.1,"44.9","69.2","45","3562","4726","133","4592","129","4863","137"
"21","효목1동","292","160",55.9,"48.7","63.1","45","5927","7690","130","7520","127","7864","133"
"22","효목2동","302","126",43.5,"37.0","49.9","45","6125","6230","102","6077","99","6387","104"
"23","도평동","95","41",47.4,"35.9","59.0","45","1902","2096","110","2007","106","2188","115"
"24","불로_봉무동","309","126",40.5,"35.0","45.9","45","6601","6298","95","6143","93","6455","98"
"25","지저동","170","66",40.6,"30.7","50.4","45","4157","3918","94","3797","91","4043","97"
"26","동촌동","216","84",39,"30.3","47.8","45","5290","4793","91","4658","88","4930","93"
"27","방촌동","330","145",44.7,"39.1","50.4","45","7325","7644","104","7474","102","7817","107"
"28","해안동","289","119",39.4,"31.7","47.1","45","6451","5936","92","5786","90","6089","94"
"29","안심1동","696","273",40.6,"36.1","45.1","45","14498","13884","96","13654","94","14116","97"
"30","안심2동","205","101",48.7,"38.7","58.8","45","3898","4413","113","4284","110","4545","117"
"31","안심3_4동","713","265",36.2,"32.0","40.4","45","15853","13746","87","13517","85","13977","88"
"32","공산동","231","121",49.5,"42.5","56.5","45","5670","6581","116","6423","113","6742","119"
"33","내당1동","304","119",38.4,"34.4","42.4","47","4394","3911","89","3790","86","4036","92"
"34","내당2_3동","313","132",42.8,"38.1","47.5","47","4500","4480","100","4350","97","4613","103"
"35","내당4동","462","186",39.1,"35.5","42.7","47","6929","6288","91","6134","89","6446","93"
"36","비산1동","348","135",38.1,"32.5","43.7","47","4491","3994","89","3872","86","4120","92"
"37","비산2_3동","346","163",48.4,"43.3","53.5","47","4530","5112","113","4973","110","5254","116"
"38","비산4동","273","103",38,"31.3","44.7","47","4300","3803","88","3684","86","3926","91"
"39","비산5동","248","105",42.4,"32.5","52.3","47","2851","2819","99","2716","95","2925","103"
"40","비산6동","244","85",34.5,"28.3","40.8","47","3454","2770","80","2668","77","2875","83"
"41","비산7동","358","137",36.7,"30.9","42.4","47","4981","4262","86","4135","83","4392","88"
"42","평리1동","257","126",50.4,"44.9","55.9","47","3379","3963","117","3841","114","4089","121"
"43","평리2동","236","93",41.5,"35.2","47.8","47","3160","3084","98","2976","94","3195","101"
"44","평리3동","375","143",38.5,"32.5","44.5","47","5196","4649","89","4517","87","4785","92"
"45","평리4동","447","172",38.6,"31.2","45.9","47","6820","6157","90","6004","88","6313","93"
"46","평리5동","228","105",47.1,"41.4","52.7","47","2851","3122","110","3013","106","3233","113"
"47","평리6동","247","74",29,"21.5","36.5","47","3373","2277","68","2185","65","2373","70"
"48","상중이동","512","151",28.3,"23.8","32.8","47","7965","5268","66","5127","64","5412","68"
"49","원대동","299","115",38,"32.5","43.5","47","3938","3487","89","3372","86","3604","92"
"50","이천동","441","163",38.1,"31.8","44.5","42","5205","4697","90","4563","88","4833","93"
"51","봉덕1동","353","112",31.1,"23.5","38.8","42","3613","2636","73","2536","70","2739","76"
"52","봉덕2동","369","105",27.6,"22.1","33.1","42","4557","2928","64","2822","62","3036","67"
"53","봉덕3동","623","216",34.1,"29.3","38.8","42","6528","5216","80","5076","78","5360","82"
"54","대명1동","388","180",46.2,"40.7","51.7","42","4472","4812","108","4677","105","4950","111"
"55","대명2동","527","225",42,"37.0","47.0","42","4938","4802","97","4667","95","4940","100"
"56","대명3동","486","211",44.3,"38.6","49.9","42","5466","5633","103","5487","100","5782","106"
"57","대명4동","434","197",45.9,"39.6","52.2","42","4653","4960","107","4823","104","5100","110"
"58","대명5동","286","111",38.8,"32.1","45.5","42","3370","3031","90","2924","87","3141","93"
"59","대명6동","345","147",43.4,"37.7","49.2","42","3780","3830","101","3710","98","3954","105"
"60","대명9동","527","183",33.7,"28.5","38.9","42","5916","4660","79","4527","77","4796","81"
"61","대명10동","346","138",38.8,"32.8","44.7","42","3777","3407","90","3293","87","3523","93"
"62","대명11동","360","180",49.9,"44.3","55.4","42","3673","4250","116","4123","112","4379","119"
"63","고성동","125","56",44.7,"32.8","56.6","46","2518","2622","104","2523","100","2725","108"
"64","칠성동","216","91",41.7,"32.4","51.0","46","6804","6704","99","6545","96","6867","101"
"65","침산1동","77","32",40.8,"16.1","65.5","46","2030","1931","95","1846","91","2019","99"
"66","침산2동","188","73",36.3,"28.1","44.5","46","5295","4587","87","4455","84","4721","89"
"67","침산3동","237","72",30.8,"24.2","37.4","46","6858","5008","73","4870","71","5148","75"
"68","산격1동","168","81",47.1,"36.4","57.8","46","4532","4963","110","4826","106","5103","113"
"69","산격2동","172","77",42.6,"32.3","53.0","46","4427","4402","99","4273","97","4534","102"
"70","산격3동","135","68",52,"41.9","62.1","46","3656","4351","119","4223","116","4483","123"
"71","산격4동","160","76",45.8,"32.8","58.8","46","3759","3990","106","3867","103","4115","109"
"72","대현동","221","104",46.6,"36.8","56.3","46","6551","7129","109","6964","106","7296","111"
"73","복현1동","113","55",49.7,"35.0","64.5","46","2885","3254","113","3143","109","3368","117"
"74","복현2동","388","146",38.4,"33.0","43.8","46","9953","8944","90","8760","88","9131","92"
"75","검단동","123","39",38.5,"24.2","52.8","46","3074","2761","90","2659","86","2866","93"
"76","무태조야동","405","151",38.4,"32.0","44.7","46","9560","8874","93","8691","91","9061","95"
"77","관문동","197","62",34.8,"26.0","43.6","46","6450","5330","83","5188","80","5475","85"
"78","태전1동","293","100",33.9,"28.5","39.2","46","8157","6441","79","6285","77","6601","81"
"79","태전2동","330","116",33.6,"28.0","39.2","46","8474","6688","79","6529","77","6850","81"
"80","구암동","470","180",39.5,"33.8","45.2","46","12269","11605","95","11395","93","11818","96"
"81","관음동","282","110",37.7,"31.8","43.6","46","6921","6139","89","5987","87","6295","91"
"82","읍내동","388","151",39.6,"35.1","44.0","46","9596","8911","93","8727","91","9098","95"
"83","동천동","366","106",28.8,"23.1","34.4","46","8963","6292","70","6137","68","6449","72"
"84","노원동","174","65",37.8,"27.0","48.6","46","4518","3953","87","3831","85","4078","90"
"85","국우동","281","116",39.7,"34.7","44.7","46","7690","7408","96","7240","94","7578","99"
"86","범어1동","245","82",34.4,"28.0","40.8","48","5910","4791","81","4656","79","4929","83"
